customerid,churn,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,charges_monthly,charges_total,charges_daily
0002-orfbo,No,female,0,1,1,9,1,0,dsl,0,1,0,1,1,0,one year,1,mailed check,65.6,593.3,2.19
0003-mknfe,No,male,0,0,0,9,1,1,dsl,0,0,0,0,0,1,month-to-month,0,mailed check,59.9,542.4,2.0
0004-tlhlj,Sí,male,0,0,0,4,1,0,fiber optic,0,0,1,0,0,0,month-to-month,1,electronic check,73.9,280.85,2.46
0011-igkff,Sí,male,1,1,0,13,1,0,fiber optic,0,1,1,0,1,1,month-to-month,1,electronic check,98.0,1237.85,3.27
0013-exchz,Sí,female,1,1,0,3,1,0,fiber optic,0,0,0,1,1,0,month-to-month,1,mailed check,83.9,267.4,2.8
0013-mhzwf,No,female,0,0,1,9,1,0,dsl,0,0,0,1,1,1,month-to-month,1,credit card automatic,69.4,571.45,2.31
0013-smeoe,No,female,1,1,0,71,1,0,fiber optic,1,1,1,1,1,1,two year,1,bank transfer automatic,109.7,7904.25,3.66
0014-bmaqu,No,male,0,1,0,63,1,1,fiber optic,1,0,0,1,0,0,two year,1,credit card automatic,84.65,5377.8,2.82
0015-uocoj,No,female,1,0,0,7,1,0,dsl,1,0,0,0,0,0,month-to-month,1,electronic check,48.2,340.35,1.61
0016-qljis,No,female,0,1,1,65,1,1,dsl,1,1,1,1,1,1,two year,1,mailed check,90.45,5957.9,3.02
0017-dinoc,No,male,0,0,0,54,0,0,dsl,1,0,0,1,1,0,two year,0,credit card automatic,45.2,2460.55,1.51
0017-iudmw,No,female,0,1,1,72,1,1,fiber optic,1,1,1,1,1,1,two year,1,credit card automatic,116.8,8456.75,3.89
0018-nyrou,No,female,0,1,0,5,1,0,fiber optic,0,0,0,0,0,0,month-to-month,1,electronic check,68.95,351.5,2.3
0019-efaep,No,female,0,0,0,72,1,1,fiber optic,1,1,1,0,1,0,two year,1,bank transfer automatic,101.3,7261.25,3.38
0019-gfntw,No,female,0,0,0,56,0,0,dsl,1,1,1,1,0,0,two year,0,bank transfer automatic,45.05,2560.1,1.5
0020-inwck,No,female,0,1,1,71,1,1,fiber optic,0,1,1,0,0,1,two year,1,credit card automatic,95.75,6849.4,3.19
0020-jdnxp,No,female,0,1,1,34,0,0,dsl,1,0,1,1,1,1,one year,0,mailed check,61.25,1993.2,2.04
0021-ikxgc,No,female,1,0,0,1,1,1,fiber optic,0,0,0,0,0,0,month-to-month,1,electronic check,72.1,72.1,2.4
0022-tcjci,Sí,male,1,0,0,45,1,0,dsl,1,0,1,0,0,1,one year,0,credit card automatic,62.7,2791.5,2.09
0023-hghwl,Sí,male,1,0,0,1,0,0,dsl,0,0,0,0,0,0,month-to-month,1,electronic check,25.1,25.1,0.84
0023-uyupn,No,female,1,1,0,50,1,1,no,0,0,0,0,0,0,one year,0,electronic check,25.2,1306.3,0.84
0023-xuopt,Sí,female,0,1,0,13,1,1,fiber optic,0,1,1,0,1,0,month-to-month,0,electronic check,94.1,1215.6,3.14
0027-kwykw,No,female,0,1,1,23,1,1,fiber optic,0,0,0,0,1,0,month-to-month,1,electronic check,83.75,1849.95,2.79
0030-fnxpp,No,female,0,0,0,3,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,19.85,57.2,0.66
0031-pvlzi,Sí,female,0,1,1,4,1,0,no,0,0,0,0,0,0,month-to-month,0,mailed check,20.35,76.35,0.68
0032-pgels,Sí,female,0,1,1,1,0,0,dsl,1,0,0,0,0,0,month-to-month,0,bank transfer automatic,30.5,30.5,1.02
0036-ihmot,No,female,0,1,1,55,1,0,fiber optic,0,1,1,1,1,1,one year,1,bank transfer automatic,103.7,5656.75,3.46
0040-halcw,No,male,0,1,1,54,1,0,no,0,0,0,0,0,0,two year,0,credit card automatic,20.4,1090.6,0.68
0042-jvwoj,No,male,0,0,0,26,1,0,no,0,0,0,0,0,0,one year,1,bank transfer automatic,19.6,471.85,0.65
0042-rlhyp,No,female,0,1,1,69,1,0,no,0,0,0,0,0,0,two year,0,bank transfer automatic,19.7,1396.9,0.66
0047-zhdtw,No,female,0,0,0,11,1,1,fiber optic,1,0,0,0,0,0,month-to-month,1,bank transfer automatic,79.0,929.3,2.63
0048-lumls,No,male,0,1,1,37,1,0,fiber optic,0,0,0,0,1,1,one year,0,credit card automatic,91.2,3247.55,3.04
0048-pihnl,No,female,0,1,0,49,1,0,no,0,0,0,0,0,0,one year,0,bank transfer automatic,20.45,900.9,0.68
0052-dckon,No,male,0,1,0,66,1,1,fiber optic,1,1,1,1,1,1,one year,0,bank transfer automatic,115.8,7942.15,3.86
0052-ynyot,No,female,0,0,0,67,1,0,no,0,0,0,0,0,0,one year,0,electronic check,20.55,1343.4,0.68
0056-epfbg,No,male,0,1,1,20,0,0,dsl,1,0,1,1,0,0,two year,1,credit card automatic,39.4,825.4,1.31
0057-qbuqh,No,female,0,0,1,43,1,1,no,0,0,0,0,0,0,two year,1,electronic check,25.1,1070.15,0.84
0058-evzwm,No,female,0,1,0,55,1,1,fiber optic,1,0,0,0,1,0,month-to-month,1,bank transfer automatic,89.8,4959.6,2.99
0060-fualy,No,female,0,1,0,59,1,1,fiber optic,1,1,0,0,1,0,month-to-month,1,electronic check,94.75,5597.65,3.16
0064-sudog,No,female,0,1,1,12,1,0,no,0,0,0,0,0,0,two year,0,bank transfer automatic,20.3,224.5,0.68
0064-yijgf,No,male,0,1,1,27,1,1,fiber optic,0,0,0,0,0,0,month-to-month,1,bank transfer automatic,75.75,1929.0,2.52
0067-dkwbl,Sí,male,1,0,0,2,1,0,dsl,1,0,0,0,0,0,month-to-month,1,electronic check,49.25,91.1,1.64
0068-figtf,No,female,0,0,0,27,1,0,dsl,0,1,1,1,1,1,one year,0,mailed check,78.2,2078.95,2.61
0071-ndafp,No,male,0,1,1,25,1,1,no,0,0,0,0,0,0,two year,0,credit card automatic,25.5,630.6,0.85
0074-hdkdg,No,male,0,1,1,25,1,0,dsl,1,1,1,0,0,0,one year,1,bank transfer automatic,61.6,1611.0,2.05
0076-lveps,No,male,0,0,1,29,0,0,dsl,1,1,1,1,0,0,month-to-month,1,mailed check,45.0,1242.45,1.5
0078-xzmht,No,male,0,1,0,72,1,1,dsl,0,1,1,1,1,1,two year,1,bank transfer automatic,85.15,6316.2,2.84
0080-emyvy,No,female,0,0,0,14,1,0,dsl,0,1,0,0,0,0,one year,0,credit card automatic,51.45,727.85,1.72
0080-orozo,No,female,0,0,0,35,1,0,fiber optic,0,0,1,1,1,1,one year,1,electronic check,99.25,3532.0,3.31
